we	[6.         0.56141702 0.         0.        ]
logic	[ 2.          0.53632933  2.         -1.        ]
model	[ 30.           0.54606988   1.         -10.        ]
semantics	[13.          0.56256989  2.         -6.        ]
based	[0 0 0 0]
systems	[ 6.          0.53743466  1.         -2.        ]
order	[16.          0.55073582  2.         -4.        ]
paper	[0 0 0 0]
problem	[33.          0.53895673  2.         -6.        ]
calculus	[25.          0.54483338  1.         -8.        ]
proof	[ 7.          0.52371318  0.         -4.        ]
first	[ 8.          0.53696021  1.         -2.        ]
properties	[0 0 0 0]
time	[14.         0.5267923  0.        -4.       ]
theory	[ 3.          0.58682396  0.         -3.        ]
algorithm	[ 4.          0.56560761  1.         -4.        ]
present	[0 0 0 0]
set	[ 35.           0.53764802   2.         -13.        ]
it	[0 0 0 0]
automata	[24.         0.5399905  2.        -4.       ]
logics	[ 8.         0.5367258  0.        -4.       ]
ltl	[16.          0.52707558  0.         -8.        ]
state	[ 33.           0.53524171   1.         -13.        ]
programs	[ 8.          0.54059594  1.         -4.        ]
two	[0 0 0 0]
finite	[ 6.          0.52255042  0.         -2.        ]
linear	[ 32.           0.54880833   1.         -12.        ]
verification	[ 6.          0.52600025  0.         -2.        ]
checking	[12.          0.60028916  2.         -6.        ]
decidable	[13.          0.54737665  3.         -4.        ]
new	[0 0 0 0]
proofs	[ 9.          0.53637905  1.         -2.        ]
prove	[0 0 0 0]
approach	[ 2.          0.53045502  0.         -2.        ]
non	[0 0 0 0]
use	[0 0 0 0]
results	[0 0 0 0]
type	[ 27.           0.54369316   0.         -14.        ]
show	[3.         0.53138111 0.         0.        ]
model checking	[11.          0.55671461  2.         -3.        ]
reasoning	[11.          0.53613658  0.         -3.        ]
one	[ 2.          0.53976142  0.         -1.        ]
models	[0 0 0 0]
given	[3.         0.52841544 0.         0.        ]
method	[17.          0.56229215  1.         -6.        ]
terms	[ 3.          0.55359993  0.         -1.        ]
complexity	[33.          0.55992403  1.         -2.        ]
language	[ 6.          0.59307135  1.         -4.        ]
processes	[22.          0.54684684  1.         -5.        ]
satisfiability	[49.          0.56317839  2.         -5.        ]
system	[0 0 0 0]
complete	[ 7.          0.52209961  0.         -1.        ]
formulas	[ 6.          0.53925965  0.         -4.        ]
result	[0 0 0 0]
called	[10.          0.52266538  0.         -4.        ]
this paper	[0 0 0 0]
also	[0 0 0 0]
classical	[ 6.          0.50811982  0.         -3.        ]
process	[ 7.          0.52982587  0.         -3.        ]
respect	[0 0 0 0]
equivalence	[ 2.          0.56841373  0.         -1.        ]
sets	[33.         0.5403535  0.        -6.       ]
particular	[0 0 0 0]
problems	[17.          0.58869221  0.         -5.        ]
class	[ 2.          0.58636308  0.         -2.        ]
program	[ 2.          0.65249598  0.         -2.        ]
framework	[0 0 0 0]
second	[ 9.          0.54281802  1.         -3.        ]
work	[ 6.        0.577614  0.       -3.      ]
data	[25.          0.55694687  3.         -9.        ]
order logic	[ 8.          0.60401002  1.         -2.        ]
define	[0 0 0 0]
analysis	[ 2.          0.58982053  0.         -1.        ]
allows	[ 6.          0.54071907  0.         -2.        ]
general	[0 0 0 0]
boolean	[14.          0.56388138  0.         -6.        ]
provide	[2.         0.50673214 0.         0.        ]
notion	[ 8.          0.59423511  0.         -2.        ]
case	[ 5.          0.55865496  0.         -3.        ]
temporal	[ 31.           0.55373316   0.         -10.        ]
known	[0 0 0 0]
using	[0 0 0 0]
formula	[13.          0.55551985  0.         -9.        ]
constraints	[12.          0.52554392  0.         -1.        ]
structure	[ 2.          0.51043189  0.         -2.        ]
termination	[ 39.           0.54625948   1.         -10.        ]
polynomial	[24.          0.55472755  1.         -6.        ]
propose	[0 0 0 0]
abstract	[ 5.         0.5790285  1.        -3.       ]
number	[ 3.          0.53882897  0.         -2.        ]
reduction	[20.          0.53201099  2.         -6.        ]
modal	[21.          0.55854799  0.         -5.        ]
theorem	[ 2.          0.63063189  0.         -1.        ]
fragment	[15.          0.54924611  0.         -4.        ]
study	[0 0 0 0]
rules	[ 4.         0.5672992  0.        -1.       ]
probabilistic	[29.          0.52687642  0.         -7.        ]
decidability	[ 6.          0.59976881  0.         -4.        ]
form	[ 4.          0.55929956  0.         -1.        ]
well	[0 0 0 0]
extension	[ 4.          0.61912535  0.         -2.        ]
relation	[10.          0.53288459  0.         -5.        ]
structures	[20.          0.56536226  0.         -7.        ]
coq	[ 47.           0.54860284   0.         -14.        ]
types	[19.          0.55397422  1.         -6.        ]
relations	[ 3.          0.56110028  0.         -1.        ]
specifications	[ 7.          0.54990712  0.         -3.        ]
used	[0 0 0 0]
way	[0 0 0 0]
logical	[ 7.          0.54823697  0.         -1.        ]
